Time,Temperature [°C],pF-Value [-]
2025-05-07T08:02,22.64,0.0
2025-05-07T08:04,22.73,0.0
2025-05-07T08:06,22.76,0.0
2025-05-07T08:12,22.77,0.0
2025-05-07T08:14,22.9,0.0
2025-05-07T08:16,22.92,0.0
2025-05-07T08:18,22.97,0.0
2025-05-07T08:20,22.99,0.0
2025-05-07T08:22,23.02,0.0
2025-05-07T08:24,23.07,0.0
2025-05-07T08:26,23.05,0.0
2025-05-07T08:28,23.07,0.0
2025-05-07T08:30,23.13,0.0
2025-05-07T08:32,23.12,0.0
2025-05-07T08:34,23.15,0.0
2025-05-07T08:36,23.2,0.0
2025-05-07T08:38,23.22,0.0
2025-05-07T11:45,20.81,0.0
2025-05-07T12:00,20.63,0.0
2025-05-07T12:15,20.29,0.0
2025-05-07T12:30,20.06,0.0
